"Bug ID","Version"
556174,"Trunk"
558301,"unspecified"
559521,"unspecified"
559564,"3.6 Branch"
560296,"Trunk"
562325,"3.6 Branch"
563161,"Trunk"
563227,"3.6 Branch"
564315,"unspecified"
565458,"Trunk"
565550,"Trunk"
565564,"Trunk"
565566,"Trunk"
565973,"Trunk"
565993,"Trunk"
566242,"unspecified"
566528,"Trunk"
567493,"unspecified"
569830,"Trunk"
572257,"unspecified"
572398,"Trunk"
572468,"unspecified"
573359,"unspecified"
573693,"3.6 Branch"
574105,"3.6 Branch"
574215,"unspecified"
574667,"4.0 Branch"
574688,"Trunk"
574938,"4.0 Branch"
576379,"4.0 Branch"
576527,"4.0 Branch"
577055,"4.0 Branch"
577079,"3.6 Branch"
577530,"Trunk"
577593,"Trunk"
578281,"Trunk"
578737,"4.0 Branch"
579204,"Trunk"
579254,"3.6 Branch"
579380,"4.0 Branch"
579631,"unspecified"
579854,"unspecified"
580245,"Trunk"
580263,"unspecified"
580624,"4.0 Branch"
580818,"unspecified"
580860,"unspecified"
581019,"unspecified"
581276,"4.0 Branch"
581672,"unspecified"
581741,"Trunk"
581912,"Trunk"
581913,"Trunk"
581978,"Trunk"
582487,"unspecified"
582803,"4.0 Branch"
583451,"unspecified"
583877,"4.0 Branch"
584505,"4.0 Branch"
584576,"Trunk"
585266,"4.0 Branch"
585296,"4.0 Branch"
585410,"4.0 Branch"
585543,"4.0 Branch"
586565,"4.0 Branch"
586726,"unspecified"
587084,"Trunk"
587381,"4.0 Branch"
588011,"Trunk"
588101,"4.0 Branch"
589266,"Trunk"
589588,"unspecified"
590507,"unspecified"
590539,"4.0 Branch"
590707,"Trunk"
590893,"4.0 Branch"
590993,"Trunk"
591007,"4.0 Branch"
591022,"4.0 Branch"
591194,"4.0 Branch"
591354,"unspecified"
591551,"Trunk"
591693,"4.0 Branch"
592094,"unspecified"
593348,"3.6 Branch"
593419,"Trunk"
593769,"3.6 Branch"
594772,"unspecified"
594901,"3.6 Branch"
594953,"4.0 Branch"
594961,"4.0 Branch"
595138,"4.0 Branch"
595303,"4.0 Branch"
595611,"4.0 Branch"
595673,"Trunk"
595674,"Trunk"
595678,"4.0 Branch"
595686,"Trunk"
596146,"4.0 Branch"
596191,"Trunk"
596344,"4.0 Branch"
596559,"3.6 Branch"
596690,"4.0 Branch"
596968,"unspecified"
597396,"3.6 Branch"
597732,"4.0 Branch"
597738,"Trunk"
597925,"3.6 Branch"
597986,"4.0 Branch"
598628,"Trunk"
598779,"Trunk"
598860,"Trunk"
599345,"unspecified"
599376,"Trunk"
599803,"4.0 Branch"
600269,"4.0 Branch"
600978,"Trunk"
601292,"3.6 Branch"
601380,"3.6 Branch"
602181,"unspecified"
603184,"4.0 Branch"
603774,"Trunk"
603802,"4.0 Branch"
603923,"4.0 Branch"
604040,"4.0 Branch"
604886,"4.0 Branch"
605245,"Trunk"
605448,"unspecified"
606081,"3.6 Branch"
606123,"Trunk"
606171,"Trunk"
606428,"3.6 Branch"
606655,"Trunk"
606836,"3.6 Branch"
607286,"Trunk"
607604,"3.6 Branch"
607785,"3.6 Branch"
608051,"3.6 Branch"
608226,"3.6 Branch"
608398,"Trunk"
609387,"3.6 Branch"
610127,"Trunk"
610142,"4.0 Branch"
610163,"unspecified"
610194,"unspecified"
611622,"3.6 Branch"
611992,"4.0 Branch"
612152,"unspecified"
612176,"4.0 Branch"
